Nested Sampling Global Log-Evidence           :   -0.104381030688242467E+90  +/-                         NaN

Dim No.       Mean        Sigma
   1    0.204475244866511741E+01    0.500793768428371977E+00
   2    0.103536929499272450E+02    0.286916835864185238E+01
   3    0.514394430695462646E+00    0.252658639037105615E+00
   4    0.249680466294730841E+00    0.282581404389748991E+00
   5    0.104054733430152857E+01    0.306035589958557119E+00
   6    0.802033592518514915E+00    0.388759452230980129E+00
   7    0.591650682384369997E+01    0.435439449266139589E+00
   8    0.952844312784050729E+01    0.927260871108817497E+00
   9    0.245694812477140889E+01    0.120141033893431004E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.148634259353009734E+01
   2    0.889962162071456930E+01
   3    0.826314745910667336E+00
   4    0.133309851229019505E+00
   5    0.132493506488973045E+01
   6    0.114105304051668077E+01
   7    0.600117298833817969E+01
   8    0.838292836100668026E+01
   9    0.248180658312444669E+01

MAP Parameters
Dim No.        Parameter
   1    0.148634259353009734E+01
   2    0.889962162071456930E+01
   3    0.826314745910667336E+00
   4    0.133309851229019505E+00
   5    0.132493506488973045E+01
   6    0.114105304051668077E+01
   7    0.600117298833817969E+01
   8    0.838292836100668026E+01
   9    0.248180658312444669E+01
